Ag volume	Ag dilution	Ab volume	Ab dilution	Count	Known?	
1	10000	1	10000	18577	0	
1	10000	1	10000	24168	0	
1	10000	1	10000	19543	0	
1	10000	1	10000	25395	0	
1	10000	1	10000	23929	0	
1	10000	1	10000	19912	0	
1	10000	1	10000	24820	0	
1	10000	1	10000	24060	0	
1	10000	1	10000	18707	0	
1	10000	1	10000	18881	0	
1	10000	1	10000	20368	0	
1	10000	1	10000	19044	0	
1	10000	1	10000	24114	0	
1	10000	1	10000	23224	0	
1	10000	1	10000	20640	0	
1	10000	1	10000	23995	0	
1	10000	1	10000	20227	0	
1	10000	1	10000	24049	0	
1	10000	1	10000	19348	0	
