Ag volume	Ag dilution	Ab volume	Ab dilution	Count	Known?	
1	10000	1	10000	20216	0	
1	10000	1	10000	23148	0	
1	10000	1	10000	23951	0	
1	10000	1	10000	19510	0	
1	10000	1	10000	20650	0	
1	10000	1	10000	19206	0	
1	10000	1	10000	24559	0	
1	10000	1	10000	23647	0	
1	10000	1	10000	19434	0	
1	10000	1	10000	22073	0	
1	10000	1	10000	19880	0	
1	10000	1	10000	20705	0	
1	10000	1	10000	19543	0	
1	10000	1	10000	17849	0	
1	10000	1	10000	23691	0	
1	10000	1	10000	23940	0	
1	10000	1	10000	17686	0	
1	10000	1	10000	20813	0	
1	10000	1	10000	19250	0	
1	10000	1	10000	22876	0	
1	10000	1	10000	19521	0	
1	10000	1	10000	23767	0	
1	10000	1	10000	22225	0	
1	10000	1	10000	25688	0	
1	10000	1	10000	23734	0	
1	10000	1	10000	18826	0	
1	10000	1	10000	20683	0	
1	10000	1	10000	20694	0	
1	10000	1	10000	20433	0	
1	10000	1	10000	21573	0	
1	10000	1	10000	19206	0	
1	10000	1	10000	25004	0	
1	10000	1	10000	23354	0	
1	10000	1	10000	23332	0	
1	10000	1	10000	24635	0	
1	10000	1	10000	22540	0	
1	10000	1	10000	17914	0	
1	10000	1	10000	22692	0	
1	10000	1	10000	23017	0	
1	10000	1	10000	22149	0	
1	10000	1	10000	19652	0	
1	10000	1	10000	24038	0	
1	10000	1	10000	20900	0	
1	10000	1	10000	24744	0	
1	10000	1	10000	20346	0	
1	10000	1	10000	22681	0	
1	10000	1	10000	20064	0	
1	10000	1	10000	19717	0	
1	10000	1	10000	19109	0	
1	10000	1	10000	24331	0	
1	10000	1	10000	19500	0	
1	10000	1	10000	23235	0	
1	10000	1	10000	19825	0	
1	10000	1	10000	19152	0	
1	10000	1	10000	19684	0	
1	10000	1	10000	19630	0	
1	10000	1	10000	21421	0	
1	10000	1	10000	23365	0	
1	10000	1	10000	22822	0	
1	10000	1	10000	20162	0	
1	10000	1	10000	22073	0	
1	10000	1	10000	23202	0	
1	10000	1	10000	24505	0	
1	10000	1	10000	24309	0	
1	10000	1	10000	22062	0	
1	10000	1	10000	23799	0	
1	10000	1	10000	19836	0	
1	10000	1	10000	22963	0	
1	10000	1	10000	24429	0	
1	10000	1	10000	19293	0	
1	10000	1	10000	23962	0	
1	10000	1	10000	21204	0	
1	10000	1	10000	23886	0	
1	10000	1	10000	18685	0	
1	10000	1	10000	24147	0	
1	10000	1	10000	20531	0	
1	10000	1	10000	19901	0	
1	10000	1	10000	19521	0	
1	10000	1	10000	23734	0	
1	10000	1	10000	20118	0	
1	10000	1	10000	24125	0	
1	10000	1	10000	18420	1	
1	10000	1	10000	17330	1	
1	10000	1	10000	19190	1	
1	10000	1	10000	18410	1	
1	10000	1	10000	20590	1	
1	10000	1	10000	18260	1	
2	10000	1	10000	12539	1	
2	10000	1	10000	12539	1	
2	10000	1	10000	12419	1	
2	10000	1	10000	11693	1	
2	10000	1	10000	14119	1	
2	10000	1	10000	14546	1	
3	10000	1	10000	9180	1	
3	10000	1	10000	8850	1	
3	10000	1	10000	10400	1	
3	10000	1	10000	8240	1	
3	10000	1	10000	11305	1	
3	10000	1	10000	10805	1	
4	10000	1	10000	7336	1	
4	10000	1	10000	6684	1	
4	10000	1	10000	7372	1	
4	10000	1	10000	7148	1	
4	10000	1	10000	8548	1	
4	10000	1	10000	8448	1	
9	1000	1	10000	485	1	
9	1000	1	10000	496	1	
9	1000	1	10000	449	1	
9	1000	1	10000	382	1	
9	1000	1	10000	395	1	
9	1000	1	10000	421	1	
8	1000	1	10000	553	1	
8	1000	1	10000	492	1	
8	1000	1	10000	570	1	
8	1000	1	10000	517	1	
8	1000	1	10000	551	1	
8	1000	1	10000	468	1	
5	10000	1	10000	5746	1	
5	10000	1	10000	7615	1	
5	10000	1	10000	7262	1	
5	10000	1	10000	7225	1	
5	10000	1	10000	5999	1	
5	10000	1	10000	6466	1	
5	10000	1	10000	6422	1	
5	10000	1	10000	7625	1	
5	10000	1	10000	6412	1	
5	10000	1	10000	7282	1	
5	10000	1	10000	7379	1	
5	10000	1	10000	6369	1	
9	100000	1	10000	18967	1	
9	100000	1	10000	24220	1	
9	100000	1	10000	23251	1	
9	100000	1	10000	22925	1	
9	100000	1	10000	20515	1	
9	100000	1	10000	24367	1	
8	100000	1	10000	21544	1	
8	100000	1	10000	24877	1	
8	100000	1	10000	23555	1	
8	100000	1	10000	19488	1	
8	100000	1	10000	24499	1	
8	100000	1	10000	23688	1	
9	100000	1	10000	23294	1	
9	100000	1	10000	19978	1	
9	100000	1	10000	19031	1	
9	100000	1	10000	23409	1	
9	100000	1	10000	20704	1	
9	100000	1	10000	19231	1	
8	100000	1	10000	19566	1	
8	100000	1	10000	24877	1	
8	100000	1	10000	23410	1	
8	100000	1	10000	24155	1	
8	100000	1	10000	24610	1	
8	100000	1	10000	24533	1	
6	100000	1	10000	22011	1	
6	100000	1	10000	26523	1	
6	100000	1	10000	27898	1	
6	100000	1	10000	28798	1	
6	100000	1	10000	27611	1	
6	100000	1	10000	23149	1	
5	100000	1	10000	30012	1	
5	100000	1	10000	22986	1	
5	100000	1	10000	27932	1	
5	100000	1	10000	22866	1	
5	100000	1	10000	22412	1	
5	100000	1	10000	25959	1	
6	10000	1	10000	5348	1	
6	10000	1	10000	5368	1	
6	10000	1	10000	5285	1	
6	10000	1	10000	6493	1	
6	10000	1	10000	6402	1	
6	10000	1	10000	6182	1	
7	10000	1	10000	4597	1	
7	10000	1	10000	5742	1	
7	10000	1	10000	5985	1	
7	10000	1	10000	4517	1	
7	10000	1	10000	4402	1	
7	10000	1	10000	5725	1	
8	10000	1	10000	4935	1	
8	10000	1	10000	4021	1	
8	10000	1	10000	3795	1	
8	10000	1	10000	4939	1	
8	10000	1	10000	4315	1	
8	10000	1	10000	4719	1	
9	10000	1	10000	3659	1	
9	10000	1	10000	4464	1	
9	10000	1	10000	4172	1	
9	10000	1	10000	3457	1	
9	10000	1	10000	3581	1	
9	10000	1	10000	4426	1	
