1	2	3	4	5	6	ki
0.207425	0.42104	0.14033	0.154751	0.0195091	0.056946	7.24436e-14
0.206967	0.418469	0.141359	0.155957	0.0196985	0.0575493	7.87046e-14
0.206505	0.415904	0.142387	0.157163	0.019888	0.0581537	8.55067e-14
0.20604	0.413345	0.143412	0.158366	0.0200775	0.0587592	9.28966e-14
0.20557	0.410793	0.144436	0.159568	0.020267	0.0593655	1.00925e-13
0.205097	0.408249	0.145458	0.160767	0.0204565	0.0599727	1.09648e-13
0.204621	0.405711	0.146477	0.161964	0.0206459	0.0605807	1.19124e-13
0.204141	0.40318	0.147495	0.163159	0.0208353	0.0611893	1.2942e-13
0.203658	0.400658	0.148509	0.164352	0.0210245	0.0617985	1.40605e-13
0.203172	0.398143	0.149521	0.165542	0.0212137	0.0624081	1.52757e-13
0.202684	0.395637	0.150531	0.166729	0.0214026	0.063018	1.65959e-13
0.202192	0.393139	0.151537	0.167913	0.0215914	0.0636284	1.80302e-13
0.201697	0.39065	0.152541	0.169093	0.0217799	0.0642389	1.95884e-13
0.2012	0.38817	0.153541	0.170271	0.0219682	0.0648495	2.12814e-13
0.200701	0.385699	0.154538	0.171445	0.0221563	0.0654601	2.31206e-13
0.200199	0.383238	0.155532	0.172616	0.022344	0.0660707	2.51189e-13
0.199696	0.380787	0.156523	0.173782	0.0225314	0.0666811	2.72898e-13
0.19919	0.378345	0.15751	0.174945	0.0227185	0.0672913	2.96483e-13
0.198682	0.375914	0.158493	0.176105	0.0229052	0.0679012	3.22107e-13
0.198172	0.373494	0.159472	0.177259	0.0230915	0.0685106	3.49945e-13
0.197661	0.371084	0.160448	0.17841	0.0232774	0.0691196	3.80189e-13
0.197148	0.368685	0.16142	0.179557	0.0234628	0.0697281	4.13048e-13
0.196634	0.366297	0.162388	0.180698	0.0236477	0.0703358	4.48745e-13
0.196118	0.36392	0.163351	0.181836	0.0238322	0.0709428	4.87528e-13
0.195601	0.361555	0.16431	0.182968	0.0240162	0.071549	5.29663e-13
0.195083	0.359201	0.165265	0.184096	0.0241995	0.0721543	5.7544e-13
0.194564	0.35686	0.166216	0.185219	0.0243824	0.0727587	6.25173e-13
0.194045	0.35453	0.167162	0.186337	0.0245647	0.0733621	6.79204e-13
0.193524	0.352212	0.168104	0.187449	0.0247463	0.0739643	7.37904e-13
0.193003	0.349907	0.16904	0.188557	0.0249274	0.0745653	8.01678e-13
0.192481	0.347615	0.169973	0.189659	0.0251077	0.0751651	8.70964e-13
0.191959	0.345335	0.1709	0.190756	0.0252875	0.0757636	9.46237e-13
0.191436	0.343067	0.171822	0.191847	0.0254665	0.0763606	1.02802e-12
0.190913	0.340813	0.17274	0.192933	0.0256449	0.0769562	1.11686e-12
0.19039	0.338572	0.173652	0.194013	0.0258225	0.0775503	1.21339e-12
0.189867	0.336344	0.17456	0.195087	0.0259994	0.0781428	1.31826e-12
0.189345	0.334129	0.175462	0.196155	0.0261756	0.0787336	1.43219e-12
0.188822	0.331928	0.176359	0.197218	0.026351	0.0793227	1.55597e-12
0.188299	0.32974	0.177251	0.198274	0.0265255	0.07991	1.69044e-12
0.187777	0.327566	0.178138	0.199324	0.0266994	0.0804955	1.83654e-12
0.187255	0.325405	0.179019	0.200369	0.0268723	0.081079	1.99526e-12
0.186734	0.323259	0.179895	0.201407	0.0270445	0.0816607	2.1677e-12
0.186213	0.321126	0.180766	0.202439	0.0272158	0.0822403	2.35505e-12
0.185693	0.319007	0.181631	0.203465	0.0273863	0.0828179	2.55859e-12
0.185174	0.316902	0.18249	0.204484	0.0275559	0.0833933	2.77971e-12
0.184656	0.314812	0.183344	0.205497	0.0277246	0.0839666	3.01995e-12
0.184138	0.312736	0.184193	0.206504	0.0278925	0.0845377	3.28095e-12
0.183622	0.310673	0.185035	0.207504	0.0280594	0.0851065	3.56451e-12
0.183106	0.308626	0.185872	0.208497	0.0282254	0.0856731	3.87258e-12
0.182592	0.306592	0.186704	0.209484	0.0283905	0.0862372	4.20727e-12
0.182079	0.304573	0.18753	0.210465	0.0285547	0.086799	4.57088e-12
0.181567	0.302569	0.18835	0.211438	0.0287179	0.0873583	4.96592e-12
0.181057	0.300578	0.189164	0.212405	0.0288802	0.0879152	5.39511e-12
0.180548	0.298603	0.189973	0.213366	0.0290415	0.0884695	5.86138e-12
0.18004	0.296642	0.190775	0.21432	0.0292018	0.0890214	6.36796e-12
0.179534	0.294695	0.191572	0.215267	0.0293612	0.0895706	6.91831e-12
0.17903	0.292763	0.192363	0.216207	0.0295196	0.0901171	7.51623e-12
0.178527	0.290846	0.193149	0.21714	0.029677	0.0906611	8.16582e-12
0.178026	0.288943	0.193928	0.218067	0.0298334	0.0912024	8.87156e-12
0.177527	0.287055	0.194702	0.218987	0.0299888	0.0917409	9.63829e-12
0.177029	0.285181	0.19547	0.2199	0.0301432	0.0922767	1.04713e-11
0.176533	0.283322	0.196232	0.220807	0.0302966	0.0928097	1.13763e-11
0.17604	0.281478	0.196988	0.221706	0.0304489	0.0933399	1.23595e-11
0.175548	0.279648	0.197738	0.222599	0.0306003	0.0938673	1.34276e-11
0.175058	0.277832	0.198483	0.223485	0.0307506	0.0943918	1.45881e-11
0.17457	0.276032	0.199221	0.224364	0.0308999	0.0949135	1.58489e-11
0.174085	0.274245	0.199954	0.225236	0.0310482	0.0954322	1.72187e-11
0.173601	0.272473	0.200681	0.226101	0.0311954	0.0959481	1.87068e-11
0.17312	0.270716	0.201402	0.22696	0.0313416	0.0964609	2.03236e-11
0.172641	0.268973	0.202117	0.227811	0.0314868	0.0969709	2.208e-11
0.172164	0.267245	0.202827	0.228656	0.0316309	0.0974779	2.39883e-11
0.171689	0.26553	0.20353	0.229494	0.031774	0.0979818	2.60615e-11
0.171217	0.263831	0.204228	0.230326	0.031916	0.0984828	2.83139e-11
0.170747	0.262145	0.20492	0.23115	0.032057	0.0989807	3.0761e-11
0.170279	0.260474	0.205607	0.231968	0.0321969	0.0994756	3.34195e-11
0.169814	0.258817	0.206287	0.232779	0.0323358	0.0999675	3.63078e-11
0.169351	0.257173	0.206962	0.233583	0.0324737	0.100456	3.94457e-11
0.16889	0.255545	0.207631	0.234381	0.0326105	0.100942	4.28549e-11
0.168433	0.25393	0.208295	0.235172	0.0327463	0.101425	4.65586e-11
0.167977	0.252329	0.208953	0.235956	0.032881	0.101904	5.05825e-11
0.167524	0.250742	0.209605	0.236734	0.0330147	0.102381	5.49541e-11
0.167074	0.249168	0.210251	0.237505	0.0331474	0.102854	5.97035e-11
0.166626	0.247609	0.210892	0.238269	0.033279	0.103325	6.48634e-11
0.166181	0.246063	0.211528	0.239027	0.0334095	0.103792	7.04693e-11
0.165738	0.244531	0.212157	0.239778	0.0335391	0.104256	7.65597e-11
0.165298	0.243013	0.212782	0.240523	0.0336676	0.104717	8.31764e-11
0.164861	0.241508	0.213401	0.241261	0.0337951	0.105175	9.03649e-11
0.164426	0.240016	0.214014	0.241993	0.0339215	0.10563	9.81748e-11
0.163994	0.238538	0.214622	0.242719	0.034047	0.106081	1.0666e-10
0.163564	0.237073	0.215224	0.243438	0.0341714	0.10653	1.15878e-10
0.163137	0.235621	0.215821	0.24415	0.0342947	0.106975	1.25893e-10
0.162713	0.234183	0.216413	0.244856	0.0344171	0.107417	1.36773e-10
0.162292	0.232757	0.216999	0.245556	0.0345385	0.107857	1.48594e-10
0.161873	0.231345	0.21758	0.24625	0.0346588	0.108293	1.61436e-10
0.161457	0.229945	0.218156	0.246938	0.0347782	0.108726	1.75388e-10
0.161044	0.228558	0.218727	0.247619	0.0348965	0.109156	1.90546e-10
0.160633	0.227184	0.219292	0.248294	0.0350139	0.109582	2.07014e-10
0.160225	0.225823	0.219852	0.248963	0.0351302	0.110006	2.24905e-10
0.15982	0.224474	0.220408	0.249626	0.0352456	0.110427	2.44343e-10
0.159418	0.223137	0.220958	0.250283	0.03536	0.110844	2.65461e-10
0.159018	0.221813	0.221502	0.250934	0.0354734	0.111259	2.88403e-10
0.158621	0.220502	0.222042	0.251579	0.0355859	0.11167	3.13329e-10
0.158227	0.219202	0.222577	0.252218	0.0356974	0.112078	3.40408e-10
0.157835	0.217915	0.223107	0.252851	0.0358079	0.112484	3.69828e-10
0.157447	0.216639	0.223632	0.253478	0.0359174	0.112886	4.01791e-10
0.157061	0.215376	0.224152	0.2541	0.036026	0.113285	4.36516e-10
0.156677	0.214125	0.224667	0.254716	0.0361337	0.113681	4.74242e-10
0.156297	0.212885	0.225178	0.255326	0.0362404	0.114074	5.15229e-10
0.155919	0.211657	0.225683	0.25593	0.0363462	0.114465	5.59758e-10
0.155544	0.21044	0.226184	0.256529	0.0364511	0.114852	6.08135e-10
0.155171	0.209236	0.22668	0.257122	0.036555	0.115236	6.60693e-10
0.154802	0.208042	0.227172	0.257709	0.036658	0.115617	7.17794e-10
0.154435	0.20686	0.227659	0.258291	0.0367601	0.115996	7.7983e-10
0.15407	0.205689	0.228141	0.258868	0.0368613	0.116371	8.47227e-10
0.153709	0.204529	0.228618	0.259439	0.0369615	0.116743	9.2045e-10
0.15335	0.20338	0.229091	0.260004	0.0370609	0.117113	1e-09
0.152993	0.202243	0.22956	0.260565	0.0371594	0.11748	1.08643e-09
0.15264	0.201116	0.230024	0.26112	0.0372571	0.117843	1.18032e-09
0.152289	0.2	0.230484	0.26167	0.0373538	0.118204	1.28233e-09
0.151941	0.198894	0.230939	0.262214	0.0374497	0.118562	1.39316e-09
0.151595	0.197799	0.23139	0.262754	0.0375447	0.118917	1.51356e-09
0.151252	0.196715	0.231837	0.263288	0.0376388	0.11927	1.64437e-09
0.150912	0.195641	0.232279	0.263817	0.0377321	0.119619	1.78649e-09
0.150574	0.194578	0.232717	0.264341	0.0378245	0.119966	1.94089e-09
0.150239	0.193524	0.233151	0.26486	0.0379161	0.12031	2.10863e-09
0.149906	0.192481	0.233581	0.265374	0.0380069	0.120651	2.29087e-09
0.149576	0.191448	0.234006	0.265883	0.0380968	0.120989	2.48886e-09
